Italiano,Bresciano
a,a
abbazia,abasia
valle,val
ala,ala
altare,altare
amore,amùr
anno,an
andare,andà
anima,anima
acqua,aqua
pioggia,aqua
arrabbiare,arabià
arrabbiarsi,arabiàs
arancia,arancia
arancione,arancio
aria,aria
mignolo,armilì
arrosto,aròst
carciofo,articiòc
abbastanza,asé
aggeggio,argàgn
argento,arzènt
autobus,autobus
pancia,baga
cornamusa lombarda con due soli bordoni,baghèt
abbaiare,baià
baita,baita
casa,baita
palla,bala
balla,bala
bugia,bala
ubriacatura,bala
ubriacarsi seriamente,ciapà 'na bröta
testicolo,bala
che palle,che bala
balla di fieno,bala de fé
gioco praticato in piazza specie in al rompia,bala
battendo una palla da tennis con le mani,bala
balcone,balcù
monello,balòs
birichino,balòs
pallone,balù
barba,barba
briccone,barba
brigante,barba
cianfrusaglia,barbài
oggetto inutile,barbài
basso,bas
bassa bresciana,basa
ciotola,bazia
baciare,bazà
bello,bèl
bianco,biànc
litigare,bigà
grembiule,bigaröl
spaghetto,bigol
groppo,bigol
ombelico,bigol
pene,bigol
persona di scarsa personalità e serietà,testa d'aglio
calesse,biròcc
blu,blö
upupa,blu böba
tonto,blu böba
cadere,borlà
truciolo da pialla del legno,bòsgia
botto,bòt
l'una,bòt
botta,bòta
braccio,bras
abbracciare,brasà sö
brutto,bröt
casa,ca'
io vado a casa,me 'ndó a ca'
cane,ca
cavallo,caàl
cagare,cagà
callo,cal
calza,calsèt
caldo,calt
capo,capo
caro,car
carro,car
cazzata,casada
cazzo,caso
casa,caza
edificio adibito ad abitazione,caza
ha,gà
cià,gà
caso,cazo
cielo,cél
qui,ché
che,che
chiavare,ciaà
scopare,ciaà
fregare,ciaà
tipico gioco in legno,ciàncol
persona poco seria,ciàncol
prendere,ciapà
chiaro,ciar
sputare,cicà
sputo,cicada
testa,có
capo,có
mondo,mónt
coglioni,coióni
testicoli,coióni
che,che
coniglio,conécc
contare,cöntà
raccontare,cöntà
coda,cua
cucchiaio,cügià
cucchiaio,cügiàr
culo,cül
corto,cürt
giorno,dé
di,de
da,de
davanti,denàcc
davanti a,denàcc de
dieci,dés
dire,di
dire,di sö
recitare,di sö
ditale,didàl
diciotto,disdòt
dizionario,disionare
diciannove,disnöf
dito,dit
diciassette,dizisèt
domani,domà
dopodomani,pasàt domà
due,dò
dopo,dòpo
due,du
dodici,dudes
duro,dür
dovere,düzì
e,e
in,en
oggi,encö
oggi pomeriggio,dopomesdé
inculare,encülà
fregare,encülà
il,el
mi ha fregato,el m'a encülàt
vaffanculo,encület
insieme,ensèma
intero,entréc
fare,fa
molto,fés
alito,fiàt
fiato,fiàt
gioco del calcio,fóbal
pallone,fóbal
fretta,frèsa
freddo,frèt
solletico,gatìgol
nebbia fitta,ghèba
padrino,ghidàs
madrina,ghidàsa
ieri,giér
l’altro ieri,giér pasàt
girare,girà
uno,giü
vomitare,gometà
gomito,gombèt
grande,grant
grasso,gras
pipistrello,gregnapola
nodo,gróp
grosso,gròs
pollice,dit gròs
idea,idèa
avere,iga
dover,iga de
devo andare,gó de na
devo,gó
uguale,istès
lo stesso,istès
la,la
là,là
lago,lac
lavorare,laorà
largo,larc
lardo,lart
lasciare,lasà
cosa,laùr
lì,lé
levare,lià
alzare,lià
alzarsi,lià sö
lungo,lónc
ombelico,luì
ma,ma
magro,magher
muratore,magut
mai,mai
male,mal
malghese,malghés
mandriano,malghés
immaturo,malmadür
malmostoso,malmustùs
scorbutico,malmustùs
musone,malmustùs
malnata,malnada
malnato,malnàt
maniglia,manèsa
mangiare,mangià
manovale,manöal
fragola,maola
mare,mar
falegname,maringù
calabrone,martinèl
marrone,marù
testicoli,marù
io,mé
me,mé
menare,menà
accompagnare,menà
picchiare,menà
mezzo,mès
mese,més
mille,mile
miliardo,miliardo
milione,miliù
molle,mòl
mollica,mòl del pa
monaca,mònega
dispensa pensile con zanzariera,moscaröla
moccio,moségn
morose,muruze
fidanzate,muruze
andare,andà
uscire con qualcuno,andà
avere una relazione,andà
nascere,naser
nebbia,nèbia
anitra,nèdra
neve,néf
annegare,negà
negare,negà
nero,négher
nuvola,nigol
nuvoloso,nigol
no,nò
non,no
notte,nòt
novanta,noanta
novantuno,novantü
nuovo,nöf
nove,nöf
noi,nóter
funerale,óbet
volta,ólta
una volta,'na ólta
arco,ólta
voltare,oltà
onda,ónda
veloce,de ónda
undici,öndès
accidenti,òstrega
caspita,òstrega
otto,òt
ottanta,otanta
ottantuno,otantü
divano,otomana
uccello,ozèl
pene,ozèl
polenta è uccelli,polènta e ozèi
palmo,palmös
pagliaccio,paiàso
partiamo,partöm
andiamo,nöm
gradino,panèl
sberla,papina
pentola,paröl
passare,pasà
scorso,pasàt
passato,pasàt
l’anno scorso,l’an pasàt
appassito,pasàt
non più maturo,pasàt
andato a male,pasàt
piede,pè
peperone,peerù
lento,pégher
pigro,pégher
pecora,pégora
pero,pér
pera,pér
per,per
forchetta,perù
calcio,pesada
pedata,pesada
piccolo,pesèn
piccolo,picinì
piccolino,picinì
pieno,piè
piovere,piöer
capriola,pirlo
spritz,pirlo
pisciare,pisà
poi,pò
poi dopo,pò dòpo
po',pó
poco,póc
pugno,pögn
polenta,polènta
mela,póm
melograno,pòm grà
paura,póra
prete,prét
spingere,pucià
polmone,pulmù
poltrona,pultruna
quale,qual
quando,quant
quaranta,quaranta
quarantuno,quarantü
quattro,quater
quattordici,quatórdes
quindici,quindes
arrabbiare,rabià
arrabbiarsi,rabiàs
cancello,restèl
riva,ria
arrivare,rià
riuscire,rià
refe,réf
filo,réf
rosso,rós
un sacco di,ròs
un sacco di pecore,en ròs de pégore
rosa,róza
ruggine,rözen
rovinare,ruinà
rotto,sacagnàt
malmesso,sacagnàt
sera,sera
ciliegia,seréza
ciabatta,saàta
abbassare,sbasà
abbassarsi,sbasàs
bucare,sbüzà
sedia,scagna
scaldare,scaldà
calza fatta in casa,scalfarèt
tasca,scarsèla
schiaffo,scciafù
scuola,scöla
scoreggiare,scorezà
scoreggia,scorèza
scuro,scür
secchio,sécia
sedici,sédes
cento,sènt
cerchio,sércol
sei,sés
sessanta,sesanta
sessantuno,sesantü
sette,sèt
settanta,setanta
settantuno,setantü
settimana,setemana
cinque,sic
lavandino,sicér
scrofa,sina
sedersi,sintàs
catarro,smargàgn
